Number,In Charge,STUDY ACCCESSION,PUBMEDID,LINK,DATASETS,Consortia,NOTES
36,Xuejie,GCST003678,27286809,www.ncbi.nlm.nih.gov/pubmed/27286809,Estonian Genome Center of the University of Tartu (EGCUT); The Invecchiare in Chianti (InCHIANTI); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Fehrmann (Fehrmann); Heart and Vascular Health Atrial Fibrillation Study (HVH); Study of Health in Pomerania (SHIP); Lifestyle and Genetic determinants of Obesity and Metabolic syndrome study (DILGOM); LifeLines (LifeLines); Rotterdam Study (RS),,
37,Xuejie,GCST003400,26818947,www.ncbi.nlm.nih.gov/pubmed/26818947,"BioBank Japan Project (BBJ); NO NAME; Shanghai DIabetes Inpatient Database (SDIID); HK1 (HK1); HK2 (HK2); Shanghai Diabetes Genetic Study (SDGS); Singapore Chinese Eyes Study (SCES); Singapore Malay Eye Study (SIMES); sp1M (sp1M); sp610 (sp610); Korean Association Resource Project (KARE); Health2 T2D Study (H2T2DS); SNUH (SNUH); Danish Studies (Danish Studies); European descent in the Diabetes Genetics Replication And Meta-analysis 3 (DIAGRAM3); Singapore Indian Eye Study (SINDI); The Pakistan Risk Of Myocardial Infarction Study (PROMIS); Risk Assessment of Cerebrovascular Events Study, Pakistan (RACE); Asian Indian Diabetic Heart Study (AIDHS); SIGMA (SIGMA); Shanghai Diabetes Study (SDS)",,
38,Xuejie,GCST004520,28540026,www.ncbi.nlm.nih.gov/pubmed/28540026,Autism Centre of Excellence (ACE); Autism Genome Project (AGP); Autism Genetic Resource Exchange (AGRE); National Institute of Mental Health (NIMH); Population-based Autism Genetics and Environment Study (PAGES); Simons Simplex Collection (SSC); Weiss Laboratory Autism Collection (WLAC); deCODE Genetics (deCODE); iPSYCH (iPSYCH); SEED (SEED); Montreal/Boston Collection (M-BC),,
39,Xuejie,GCST003048,26198764,www.ncbi.nlm.nih.gov/pubmed/26198764,Epidemiology genetic program AJ schizophrenia case-control samples (Epi Gen AJ SZ); Hebrew university geneomic resource AJ schizophrenia case-control sample (HUGR),PGC2,
40,Xuejie,GCST004568,28448500,www.ncbi.nlm.nih.gov/pubmed/28448500,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Australian Twin-Family Studies (AUSTWIN); Busselton Health Study (BHS); British 1958 Birth Cohort Study (B58C); Coronary Artery Risk Development in Young Adults (CARDIA); Cebu Longitudinal Health and Nutrition Survey (CLHNS); Cohorte Lausannoise (CoLaus); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Vis Island Study (CROATIA-VIS); FINRISK (FINRISK); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Drs Extra (Drs Extra); Estonian Genome Center of the University of Tartu (EGCUT); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Family Heart Study (FamHS); Framingham Heart Study (FHS); Fenland study (Fenland); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Generation Scotland: Scottish Family Health Study (GS:SFHS); Genetic Epidemiology Network of Arteriopathy (GENOA); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Genetics of Overweight Young Adults (GOYA); Health and Retirement Study (HRS); Hypertension Genetic Epidemiology Network (HYPERGEN); The Invecchiare in Chianti (InCHIANTI); Cooperative Health Research in the Region of Augsburg (KORA); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); Ludwigshafen Risk and Cardiovascular Health (LURIC); Multi-Ethnic Study of Atherosclerosis (MESA); Osteoporotic Fractures in Men Study (MrOS); Netherlands Twin Registry (NTR); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Nurses Health Study (NHS); Orkney Complex Disease Study (ORCADES); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Quebec Family Study (QFS); Rotterdam Study (RS); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); UK Adult Twin Register (TwinsUK); Womens Genome Health Study (WGHS); Cardiovascular Risk in Young Finns Study (YFS); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Estonian Genome Center of the University of Tartu (EGCUT); Ely Study (Ely); European Prospective Investigation into Cancer (EPIC); Fenland study (Fenland); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics II (FUSION Stage 2); Gene-Lifestyle interactions And Complex traits Involved in Elevated disease Risk Study (GLACIER); Gene By Environment (GXE); Health2006 Study (Health2006); Nord-Trèndelag Health Study (HUNT); Inter99 Study (Inter99); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); Multiethnic Cohort Study of Diet and Health (MEC); Metabolic Syndrome In Men (METSIM); MRC National Survey of Health and Development (NSHD); SCARFSHEEP (SCARFSHEEP); SPT (SPT); Womens Health Initiative (WHI); Whitehall Study (Whitehall); UK Biobank (UKB); The older order AMISH population studies (AMISH); Northern Sweden Population Health Study (NSPHS),GIANT,
41,Xuejie,GCST004296,28416818,www.ncbi.nlm.nih.gov/pubmed/28416818,"Cooperative Health Research in the Region of Augsburg (KORA); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); ANGES (ANGES); Atherosclerosis Risk in Communities Study (ARIC); Beat-AF (Beat-AF); BioBank Japan Project (BBJ); BioMe Biobank (BMBB); BioVU, the Vanderbilt DNA Databank project (BioVu); Cleveland Clinic AF Study (CCAF); Cardiovascular Health Study (CHS); COROGENE: International Studies of Infarct Survival (COROGENE); Framingham Heart Study (FHS); Finnish Cardiovascular Study (FINCAVAS); Generation Scotland: Scottish Family Health Study (GS:SFHS); Heinz Nixdorf Recall Study (HNR); Ludwigshafen Risk and Cardiovascular Health (LURIC); Malmo Diet and Cancer Study (MDC); Multi-Ethnic Study of Atherosclerosis (MESA); Genes Affecting Stroke Risk and Outcome Study (MGH-GASROS); Childhood Asthma Management Program (CAMP); Massachusetts General Hospital Atrial Fibrillation Study (MGH); Genes Affecting Stroke Risk and Outcome Study (MGH-GASROS); Wellcome Trust Case Control Consortium 2 (WTCCC2); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); SPHFC (SPHFC); Study of Health in Pomerania (SHIP); TwinGene Study (TwinGene); Uppsala Longitudinal Study of Adult Men (ULSAM); Womens Genome Health Study (WGHS)",,
42,Xuejie,GCST004067,25673412,www.ncbi.nlm.nih.gov/pubmed/25673412,"British 1958 Birth Cohort Study (B58C); Atherosclerotic Disease, Vascular function, and Genetic Epidemiology (ADVANCE); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); The older order AMISH population studies (AMISH); Busselton Health Study (BHS); Baltimore Longitudinal Study of Ageing (BLSA); British Genetics of Hypertension study (BRIGHT); Cardiovascular Health Study (CHS); Cebu Longitudinal Health and Nutrition Survey (CLHNS); Cohorte Lausannoise (CoLaus); FINRISK (FINRISK); CROATIA-Vis Island Study (CROATIA-VIS); deCODE Genetics (deCODE); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Diabetes Genetics (DIAGEN); Lifestyle and Genetic determinants of Obesity and Metabolic syndrome study (DILGOM); DPS (DPS); Drs Extra (Drs Extra); Genetics of diabetes Audit and Research (GODARTS); Estonian Genome Center of the University of Tartu (EGCUT); Ely Study (Ely); EMIL (EMIL); European Prospective Investigation into Cancer (EPIC); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Family Heart Study (FamHS); FBPP (FBPP); Fenland study (Fenland); FIN-D2D (FIN-D2D); Finnish Twin Cohort Study (FTC); Framingham Heart Study (FHS); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics II (FUSION Stage 2); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); GEFOS (GEFOS); GENIE (GENIE); GENNET (GENNET); Gene-Lifestyle interactions And Complex traits Involved in Elevated disease Risk Study (GLACIER); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Gene By Environment (GXE); Health 2000 Study (Health 2000); Helsinki Birth Cohort Study (HBCS); Health, Aging, and Body Composition Study (Health ABC); Health, Risk Factors, Training and Genetics Family Study (HERITAGE); Heinz Nixdorf Recall Study (HNR); Nord-Trèndelag Health Study (HUNT); Hypertension Genetic Epidemiology Network (HYPERGEN); IMPROVE (IMPROVE); The Invecchiare in Chianti (InCHIANTI); Cooperative Health Research in the Region of Augsburg (KORA); Leipzig Adults (Leipzig Adults); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); Ludwigshafen Risk and Cardiovascular Health (LURIC); Leiden Longevity Study (LLS); Metabolic Syndrome In Men (METSIM); Micro-isolates in South Tyrol Study (MICROS); MOnica Risk, Genetics, Archiving and Monograph (MORGAM); PRIME (PRIME); UK Adult Twin Register (TwinsUK); Netherlands Study of Depression and Anxiety (NESDA); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS); MRC National Survey of Health and Development (NSHD); Netherlands Twin Registry (NTR); Orkney Complex Disease Study (ORCADES); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Precocious Coronary Artery Disease Study (PROCARDIS); The Pakistan Risk Of Myocardial Infarction Study (PROMIS); Quebec Family Study (QFS); Relationship between Insulin Sensitivity and Cardiovascular disease (RISC); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); SardiNIA Study of Aging (SardiNIA); SCARFSHEEP (SCARFSHEEP); Study of Health in Pomerania - LEGEND (SHIP-LEGEND); Study of Health in Pomerania (SHIP); Sorbs population (SORBS); SPT (SPT); Swedish Twin Registry (STR); Tandem (Tandem); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); Tracking Adolescents Individual Lives Survey (TRAILS); The Tromso Study (Tromso); TwinGene Study (TwinGene); Uppsala Longitudinal Study of Adult Men (ULSAM); Womens Genome Health Study (WGHS); Womens Health Initiative (WHI); Whitehall Study (Whitehall); Wellcome Trust Case Control Consortium (WTCCC); Cardiovascular Risk in Young Finns Study (YFS); Miscellaneous (Miscellaneous)",GIANT,
43,Xuejie,GCST003116,26343387,www.ncbi.nlm.nih.gov/pubmed/26343387,"Precocious Coronary Artery Disease Study (PROCARDIS); Helsinki Sudden Death Study/Tampere Coronary Study (HSDS); Atherosclerotic Disease, Vascular function, and Genetic Epidemiology (ADVANCE); Beijing Atherosclerosis Study (BAS); Cardiogenics Study (Cardiogenics); China Atherosclerosis Study (CAS); Cleveland Clinic GeneBank Study (CCGB); Cleveland Clinic Gene Bank 2 (CCGB_2); COROGENE: International Studies of Infarct Survival (COROGENE); Duke Cathgen Study (DUKE_2); Estonian Genome Center of the University of Tartu (EGCUT); Functional genomic diagnostic tools for coronary artery disease (FGENTCARD); Genomics Research in Cardiovascular Disease (GENRIC); German Myocardial Infarction Family Study I (GerMIFS I); German Myocardial Infarction Family Study II (GerMIFS II); German Myocardial Infarction Family Study III (GerMIFS III); German Myocardial Infarction Family Study IV (GERMIFS IV); Genetics of diabetes Audit and Research (GODARTS); Heart Protection Study (HPS); MT. SINAI BioMe Biobank Platform (IMP); MT. SINAI BioMe Biobank Platform (IMP); MT. SINAI BioMe Biobank Platform (IMP); London Life Sciences Population Study (LOLIPOP); Ludwigshafen Risk and Cardiovascular Health (LURIC); medSTARCARDIAC catheterization study (MedSTAR); Myocardial Infarction Genetics Consortium (MIGen); Ottawa Heart Genomics Study (OHGS); PennCATH (PennCATH); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); FINRISK (FINRISK); Shanghai Diabetes Study (SDS); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); TwinGene Study (TwinGene); Uppsala Longitudinal Study of Adult Men (ULSAM); Wellcome Trust Case Control Consortium (WTCCC); The Pakistan Risk Of Myocardial Infarction Study (PROMIS); Leipzig Research Center for Civilization Diseases - Heart Study (LIFE-HEART); Womens Genome Health Study (WGHS); INTERHEART Study 2 (ITH_2); MAYO_VDB (MAYO_VDB); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Rotterdam Study (RS); Framingham Heart Study (FHS); Family Heart Study (FamHS); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Atherosclerosis Risk in Communities Study (ARIC); Asian Indian Diabetic Heart Study (AIDHS)",,
44,Xuejie,GCST004017,27918536,www.ncbi.nlm.nih.gov/pubmed/27918536,23andMe (23andMe); UK Biobank (UKB); deCODE Genetics (deCODE),,
45,Xuejie,GCST002063,23754948,www.ncbi.nlm.nih.gov/pubmed/23754948,"Atherosclerotic Disease, Vascular function, and Genetic Epidemiology (ADVANCE); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); The older order AMISH population studies (AMISH); Atherosclerosis Risk in Communities Study (ARIC); British 1958 Birth Cohort Study (B58C); Wellcome Trust Case Control Consortium (WTCCC); British Genetics of Hypertension study (BRIGHT); CAD (CAD); Cancer Prostate in Sweden 1 (CAPS1); Cancer Prostate in Sweden 2 (CAPS2); Cardiovascular Health Study (CHS); Cohorte Lausannoise (CoLaus); deCODE Genetics (deCODE); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Estonian Genome Center of the University of Tartu (EGCUT); European Prospective Investigation into Cancer and Nutrition _ Obesity study cohort (EPIC-Obesity); Erasmus Rucphen Family Study (ERF); Fenland study (Fenland); Family Heart Study (FamHS); Framingham Heart Study (FHS); Finnish Twin Cohort Study (FTC); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Health2000 GenMets Study (GenMets); German Myocardial Infarction Family Study I (GerMIFS I); German Myocardial Infarction Family Study II (GerMIFS II); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Micro-isolates in South Tyrol Study (MICROS); Myocardial Infarction Genetics Consortium (MIGen); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Nurses Health Study (NHS); Northern Sweden Population Health Study (NSPHS); Netherlands Twin Registry (NTR); Netherlands Study of Depression and Anxiety (NESDA); Orkney Complex Disease Study (ORCADES); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Precocious Coronary Artery Disease Study (PROCARDIS); Rotterdam Study I (RS-I); Radboud University Nijmegen Medical Centre (RUNMC); SardiNIA Study of Aging (SardiNIA); Singapore and Sweden Breast Cancer Study (SASBAC); Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH); Study of Health in Pomerania (SHIP); UK Adult Twin Register (TwinsUK); Vis Study (VIS); Family Heart Study (FamHS); BSN (BSN); FINRISK (FINRISK); Estonian Genome Center of the University of Tartu (EGCUT); FinGesture (FinGesture); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Helsinki Birth Cohort Study (HBCS); Hypertension Genetic Epidemiology Network (HYPERGEN); LifeLines (LifeLines); Molecular Genetics of Schizophrenia Collaboration (MGS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Queensland Institute of Medical Research (QIMR); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Sorbs population (SORBS); Womens Genome Health Study (WGHS); Cardiovascular Risk in Young Finns Study (YFS); Osteoporosis Clinic of Asan Medical Center (AMC-PAS); Cardiogenics Study (Cardiogenics); D2D2007 (D2D2007); DPS (DPS); Drs Extra (Drs Extra); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics II (FUSION Stage 2); Metabolic Syndrome In Men (METSIM); EAS (EAS); Ely Study (Ely); European Prospective Investigation into Cancer (EPIC); Gene-Lifestyle interactions And Complex traits Involved in Elevated disease Risk Study (GLACIER); Genetics of diabetes Audit and Research (GODARTS); Heinz Nixdorf Recall Study (HNR); Hunter Community Study (HCS); IMPROVE (IMPROVE); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Ludwigshafen Risk and Cardiovascular Health (LURIC); MOnica Risk, Genetics, Archiving and Monograph (MORGAM); MRC National Survey of Health and Development (NSHD); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); SCARFSHEEP (SCARFSHEEP); Swedish Twin Registry (STR); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); Uppsala Longitudinal Study of Adult Men (ULSAM); Whitehall Study (Whitehall); Type 1 Diabetes Genetics Consortium (T1DGC)",GIANT,
